,Doc,Emotions,Topics
61,N061,anger | sadness | neutral,technology | environment | politics | crime | entertainment | education
62,N062,sadness | surprise | joy | neutral | anger,technology | politics | environment | crime | health | entertainment
63,N063,neutral,technology | politics | crime | environment | entertainment | money
64,N064,sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
65,N065,fear | sadness | neutral,environment | crime | health | entertainment | money
66,N066,disgust | anger | surprise | neutral,crime | entertainment | politics | environment
67,N067,anger | sadness | neutral,technology | crime | politics | environment | health | entertainment
68,N068,neutral,technology | crime | environment | politics | entertainment | education | money
69,N069,fear | neutral,technology | environment | crime | health | entertainment | money
70,N070,anger | fear | neutral,technology | crime | politics | environment | entertainment
71,N071,disgust | anger | neutral,technology | crime | politics | environment | entertainment | money
72,N072,neutral,technology | politics | environment | crime | entertainment | money
73,N073,anger | neutral,technology | crime | environment | politics | entertainment | money
74,N074,anger | sadness | neutral,sports | technology | environment | politics | entertainment | money
75,N075,anger | neutral,technology | politics | environment | crime | entertainment | money
76,N076,sadness | neutral,technology | politics | crime | environment | entertainment | money
77,N077,anger | neutral,politics | entertainment | crime | environment
78,N078,sadness | joy | neutral,sports | environment | politics | crime | health | entertainment | money
79,N079,disgust | anger | neutral,crime | politics | environment | health | entertainment | money
80,N080,neutral,technology | environment | politics | crime | entertainment | money
81,N081,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
82,N082,disgust | sadness | neutral,technology | crime | environment | politics | entertainment | money
83,N083,disgust | joy | neutral,technology | environment | politics | crime | health | entertainment | money
84,N084,anger | neutral,technology | environment | politics | crime | health | entertainment
85,N085,anger | sadness | neutral,politics | crime | environment | health | entertainment | education
86,N086,anger | sadness | joy | neutral,technology | crime | politics | environment | entertainment
87,N087,neutral,sports | technology | environment | crime | entertainment | money
88,N088,anger | neutral,technology | environment | politics | crime | health | entertainment | money
89,N089,anger | neutral,technology | politics | crime | environment | entertainment
90,N090,disgust | anger | neutral,technology | environment | crime | politics | entertainment | money
91,N091,anger | fear | sadness | neutral,technology | crime | environment | politics | health | entertainment | money
92,N092,anger | neutral,technology | environment | health | entertainment | education | money
93,N093,anger | joy | neutral,technology | politics | crime | environment | entertainment | money
94,N094,anger | fear | neutral,sports | environment | politics | crime | entertainment | money
95,N095,neutral,sports | technology | environment | politics | crime | entertainment | education
96,N096,disgust | anger | neutral,technology | politics | environment | entertainment | money
97,N097,neutral,crime | entertainment | environment
98,N098,anger | fear | neutral,crime | entertainment | politics | environment
99,N099,anger | neutral,crime | entertainment | environment
100,N100,disgust | anger | sadness | neutral,technology | politics | crime | environment | health | entertainment
101,N101,neutral,technology | crime | environment | politics | entertainment | money
102,N102,anger | neutral,technology | environment | politics | crime | entertainment | money
103,N103,neutral,sports | technology | environment | politics | crime | entertainment | money
104,N104,anger | fear | sadness | neutral,environment | entertainment | money | crime
105,N105,fear | sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
106,N106,anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
107,N107,anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | money
108,N108,sadness | neutral,environment | entertainment | technology | crime
109,N109,anger | sadness | neutral,environment | politics | crime | health | entertainment | money
110,N110,anger | fear | neutral,technology | environment | politics | crime | entertainment | money
111,N111,anger | surprise | neutral,technology | environment | politics | crime | entertainment | money
112,N112,neutral,technology | environment | politics | crime | health | entertainment | money
113,N113,disgust | fear | joy | neutral,technology | environment | politics | crime | entertainment | education | money
114,N114,anger | sadness | neutral,technology | crime | environment | politics | health | entertainment | education | money
115,N115,anger | sadness | joy | neutral,environment | politics | crime | entertainment | education | money
116,N116,sadness | neutral,environment | entertainment | technology | crime
117,N117,anger | fear | joy | neutral,technology | crime | environment | entertainment | money
118,N118,disgust | anger | sadness | neutral,environment | entertainment | technology | crime
119,N119,anger | fear | neutral,sports | technology | environment | crime | health | entertainment | education | money
120,N120,anger | sadness | joy | neutral,sports | technology | crime | environment | health | entertainment | money
121,N121,anger | fear | neutral,technology | crime | politics | environment | health | entertainment | money
122,N122,neutral,technology | crime | politics | environment | entertainment
123,N123,anger | sadness | neutral,technology | crime | environment | health | entertainment | money
124,N124,anger | fear | neutral,environment | politics | crime | health | entertainment | money
125,N125,fear | neutral,environment | entertainment | crime
126,N126,anger | joy | neutral,sports | environment | crime | health | entertainment
127,N127,anger | fear | neutral,sports | technology | crime | environment | politics | health | entertainment | money
128,N128,anger | fear | neutral,environment | crime | health | entertainment | money
129,N129,anger | sadness | fear | neutral,crime | politics | environment | entertainment | education
130,N130,fear | sadness | neutral,technology | politics | crime | environment | health | entertainment | money
131,N131,disgust | fear | sadness | neutral | anger,environment | politics | crime | entertainment | money
132,N132,anger | fear | neutral,technology | crime | environment | entertainment | education | money
133,N133,anger | fear | neutral,environment | entertainment | technology | crime
134,N134,sadness | neutral,environment | entertainment | politics | crime
135,N135,anger | sadness | neutral,sports | technology | politics | environment | crime | health | entertainment
136,N136,sadness | fear | neutral,technology | environment | politics | crime | entertainment | money
137,N137,anger | fear | neutral,environment | entertainment | technology | crime
138,N138,anger | fear | sadness | neutral,technology | crime | environment | health | entertainment | money
139,N139,fear | sadness | neutral,technology | crime | environment | entertainment | money
140,N140,disgust | sadness | neutral,technology | environment | health | entertainment | money
141,N141,anger | fear | neutral,crime | entertainment | education | environment
142,N142,fear | neutral,technology | environment | crime | health | entertainment | education
143,N143,anger | sadness | neutral,environment | entertainment | technology | crime
144,N144,anger | sadness | neutral,sports | technology | environment | politics | crime | entertainment
145,N145,anger | neutral,technology | crime | politics | environment | entertainment | money
146,N146,anger | fear | sadness | neutral,environment | politics | crime | health | entertainment | money
147,N147,sadness | fear | neutral,technology | crime | politics | environment | health | entertainment
148,N148,disgust | anger | fear | neutral,sports | technology | crime | environment | entertainment
149,N149,disgust | fear | sadness | neutral | anger,environment | politics | crime | health | entertainment
150,N150,anger | fear | neutral,environment | entertainment | politics | crime
151,N151,disgust | fear | sadness | neutral | anger,technology | environment | crime | politics | health | entertainment | money
152,N152,anger | sadness | fear | neutral,technology | environment | crime | politics | health | money
153,N153,anger | fear | neutral,sports | technology | crime | politics | environment | entertainment
154,N154,disgust | fear | sadness | neutral | anger,crime | environment | politics | health | entertainment
155,N155,sadness | fear | neutral,technology | environment | politics | crime | entertainment | education
156,N156,sadness | surprise | neutral,crime | politics | environment | health | entertainment
157,N157,anger | fear | neutral,technology | environment | crime | politics | entertainment | education | money
158,N158,disgust | fear | sadness | joy | surprise | neutral,sports | technology | politics | crime | environment | entertainment | money
159,N159,neutral,technology | environment | crime | health | entertainment | education | money
160,N160,anger | fear | neutral,technology | environment | crime | politics | health | entertainment
161,N161,neutral,sports | environment | politics | crime | health | entertainment
162,N162,disgust | anger | fear | neutral,sports | technology | crime | environment | politics | health | entertainment | money
163,N163,disgust | anger | sadness | neutral,politics | crime | environment | health | entertainment | money
164,N164,surprise | neutral,sports | environment | politics | crime | entertainment
165,N165,disgust | anger | neutral,environment | crime | politics | health | entertainment | money
166,N166,anger | joy | neutral,environment | entertainment | crime | technology
167,N167,sadness | neutral,technology | politics | crime | environment | health | entertainment | money
168,N168,disgust | anger | neutral,environment | politics | crime | entertainment | money
169,N169,anger | fear | neutral,sports | technology | politics | crime | environment | health | entertainment | money
170,N170,disgust | neutral,environment | entertainment | money | technology
171,N171,anger | surprise | neutral,environment | entertainment | politics | crime
172,N172,anger | sadness | fear | neutral,sports | environment | crime | health | entertainment | money
173,N173,disgust | fear | joy | neutral | anger,environment | entertainment | money | crime
174,N174,anger | neutral,technology | environment | crime | entertainment | education
175,N175,neutral,technology | environment | crime | entertainment | money
176,N176,neutral,technology | environment | politics | health | entertainment | money
177,N177,neutral,sports | politics | crime | environment | entertainment | money
178,N178,disgust | anger | neutral,environment | crime | health | entertainment | money
179,N179,fear | sadness | joy | neutral | anger,technology | environment | crime | politics | health | entertainment | education | money
180,N180,anger | sadness | neutral,environment | politics | crime | health | entertainment | money
181,N181,anger | fear | surprise | neutral,technology | politics | crime | environment | health | entertainment
182,N182,sadness | neutral,technology | environment | politics | crime | entertainment | money
183,N183,anger | neutral,environment | entertainment | crime | health
184,N184,anger | neutral,technology | politics | crime | environment | entertainment
185,N185,neutral,environment | politics | crime | entertainment | money
186,N186,disgust | anger | neutral,environment | politics | crime | entertainment | money
187,N187,anger | sadness | neutral,crime | environment | health | entertainment | money
188,N188,sadness | neutral,sports | environment | crime | health | entertainment | money
189,N189,disgust | fear | sadness | neutral | anger,environment | entertainment | crime | technology
190,N190,anger | sadness | fear | neutral,technology | environment | politics | health | entertainment
191,N191,anger | neutral,sports | environment | crime | politics | entertainment | money
192,N192,anger | fear | neutral,sports | politics | crime | environment | entertainment
193,N193,disgust | anger | sadness | neutral,sports | technology | environment | politics | crime | health | entertainment | education | money
194,N194,neutral,technology | environment | politics | health | entertainment | money
195,N195,neutral,environment | entertainment | politics | technology
196,N196,neutral,environment | entertainment | technology
197,N197,disgust | neutral,environment | crime | politics | health | entertainment | money
198,N198,sadness | neutral,technology | crime | environment | politics | health | entertainment | money
199,N199,anger | neutral,technology | politics | crime | environment | health | entertainment | money
200,N200,neutral,environment | entertainment | technology | crime
201,N201,anger | fear | neutral,technology | politics | crime | environment | entertainment
202,N202,fear | neutral,sports | environment | crime | health | entertainment | money
203,N203,anger | sadness | joy | neutral,technology | environment | crime | politics | health | entertainment | education | money
204,N204,sadness | neutral,sports | politics | crime | environment | health | entertainment
205,N205,neutral,technology | environment | politics | crime | entertainment | education | money
206,N206,disgust | anger | fear | neutral,technology | politics | environment | crime | entertainment | money
207,N207,anger | neutral,environment | politics | health | entertainment | education
208,N208,disgust | sadness | neutral,technology | environment | crime | health | entertainment
209,N209,neutral,technology | environment | crime | politics | entertainment | money
210,N210,disgust | anger | sadness | neutral,technology | environment | crime | politics | health | entertainment | money
211,N211,disgust | anger | joy | neutral,sports | environment | politics | health | entertainment | education | money
212,N212,sadness | neutral,politics | entertainment | environment | health
213,N213,sadness | joy | neutral,technology | crime | environment | health | entertainment | money
214,N214,anger | neutral,technology | environment | crime | health | entertainment
215,N215,disgust | anger | sadness | neutral,environment | entertainment | politics | education
216,N216,surprise | neutral,crime | entertainment | environment
217,N217,sadness | surprise | neutral,technology | crime | environment | politics | entertainment | money
218,N218,anger | joy | neutral,sports | technology | crime | environment | entertainment | money
219,N219,disgust | fear | sadness | joy | neutral,environment | crime | health | entertainment | money
220,N220,fear | sadness | joy | neutral,technology | politics | environment | health | entertainment | education
221,N221,disgust | sadness | neutral,environment | politics | crime | health | entertainment | money
222,N222,anger | sadness | surprise | neutral,technology | environment | politics | crime | entertainment | money
223,N223,sadness | fear | neutral,technology | environment | crime | health | entertainment
224,N224,fear | neutral,technology | crime | environment | health | entertainment | education | money
225,N225,disgust | anger | sadness | neutral,technology | environment | crime | politics | health | entertainment
226,N226,anger | sadness | neutral,sports | technology | environment | health | entertainment | money
227,N227,disgust | anger | neutral,technology | environment | politics | crime | health | entertainment
228,N228,anger | neutral,technology | environment | politics | crime | entertainment | education | money
229,N229,joy | neutral,technology | environment | crime | entertainment | money
230,N230,neutral,sports | technology | environment | crime | politics | entertainment
231,N231,neutral,sports | technology | environment | crime | health | entertainment
232,N232,anger | fear | neutral,technology | environment | politics | crime | health | entertainment | money
233,N233,anger | joy | neutral,environment | crime | politics | entertainment | education | money
234,N234,fear | neutral,sports | technology | environment | politics | health | entertainment | education | money
235,N235,sadness | neutral,technology | environment | politics | crime | entertainment | money
236,N236,disgust | anger | sadness | neutral,technology | politics | crime | environment | health | entertainment | money
237,N237,neutral,technology | environment | politics | crime | entertainment | money
238,N238,anger | sadness | neutral,technology | environment | politics | entertainment | money
239,N239,sadness | joy | neutral,environment | entertainment | money | technology
240,N240,disgust | anger | sadness | neutral,technology | environment | crime | politics | education | money
241,N241,sadness | neutral,technology | environment | politics | health | entertainment | money
242,N242,disgust | sadness | neutral,technology | environment | entertainment | education | money
243,N243,joy | neutral,technology | environment | crime | health | entertainment | money
244,N244,sadness | joy | neutral,politics | entertainment | money | environment
245,N245,fear | neutral,technology | crime | environment | entertainment | education | money
246,N246,joy | neutral,technology | environment | politics | crime | entertainment | money
247,N247,disgust | neutral,technology | environment | politics | health | entertainment | money
248,N248,anger | neutral,technology | environment | crime | entertainment | money
249,N249,sadness | neutral,environment | entertainment | money | technology
250,N250,sadness | fear | neutral,technology | politics | crime | environment | entertainment | money
251,N251,anger | fear | neutral,technology | environment | politics | crime | entertainment | money
252,N252,neutral,technology | environment | crime | entertainment | money
253,N253,sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
254,N254,neutral,technology | crime | politics | environment | entertainment | money
255,N255,fear | neutral,technology | politics | environment | entertainment | money
256,N256,neutral,technology | environment | politics | crime | entertainment | money
257,N257,neutral,sports | technology | environment | crime | education | money
258,N258,anger | joy | neutral,technology | environment | crime | politics | entertainment | money
259,N259,sadness | neutral,sports | technology | environment | crime | entertainment | money
260,N260,sadness | joy | neutral,sports | technology | environment | crime | politics | entertainment | money
261,N261,disgust | anger | neutral,technology | environment | crime | health | entertainment | money
262,N262,anger | sadness | neutral,environment | entertainment | money | technology
263,N263,anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
264,N264,sadness | neutral,environment | entertainment | money | technology
265,N265,fear | sadness | neutral,technology | environment | crime | health | entertainment | money
266,N266,anger | neutral,technology | environment | crime | politics | entertainment | money
267,N267,anger | sadness | neutral,technology | environment | crime | politics | entertainment | money
268,N268,anger | fear | neutral,technology | environment | politics | entertainment | education | money
269,N269,fear | sadness | neutral,technology | environment | health | entertainment | education | money
270,N270,anger | neutral,technology | environment | politics | entertainment | money
271,N271,disgust | anger | neutral,technology | environment | politics | crime | entertainment | money
272,N272,sadness | neutral,technology | environment | crime | entertainment | money
273,N273,anger | neutral,technology | crime | politics | environment | entertainment | money
274,N274,disgust | sadness | neutral,technology | politics | environment | crime | entertainment | money
275,N275,anger | sadness | neutral,environment | entertainment | money | technology
276,N276,sadness | neutral,sports | environment | crime | politics | health | entertainment | money
277,N277,neutral,technology | environment | politics | crime | entertainment | money
278,N278,anger | fear | neutral,technology | environment | politics | health | entertainment | education | money
279,N279,joy | neutral,technology | environment | politics | crime | entertainment | money
280,N280,neutral,technology | environment | health | entertainment | money
281,N281,sadness | neutral,technology | environment | crime | entertainment | money
282,N282,anger | sadness | neutral,environment | entertainment | money | technology
283,N283,sadness | joy | neutral,technology | environment | crime | health | entertainment | money
284,N284,sadness | neutral,technology | environment | crime | politics | entertainment | money
285,N285,anger | sadness | joy | neutral,technology | environment | politics | crime | health | entertainment | money
286,N286,disgust | fear | sadness | neutral,environment | entertainment | money | technology
287,N287,sadness | neutral,technology | environment | politics | crime | entertainment | money
288,N288,neutral,technology | environment | politics | crime | health | entertainment | money
289,N289,neutral,environment | entertainment | money | technology
290,N290,anger | neutral,sports | technology | crime | environment | entertainment | money
291,N291,fear | neutral,sports | technology | environment | crime | entertainment | money
292,N292,anger | fear | neutral,technology | environment | politics | health | entertainment | education | money
293,N293,neutral,sports | technology | environment | politics | health | entertainment | money
294,N294,anger | sadness | neutral,sports | technology | crime | environment | entertainment | money
295,N295,fear | surprise | neutral,technology | environment | crime | entertainment | money
296,N296,sadness | neutral,technology | crime | environment | politics | health | entertainment
297,N297,anger | sadness | neutral,sports | technology | environment | crime | politics | entertainment | money
298,N298,neutral,technology | environment | politics | crime | entertainment | money
299,N299,anger | joy | neutral,sports | technology | environment | crime | entertainment | money
300,N300,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
301,N301,anger | sadness | neutral,environment | entertainment | money | technology
302,N302,anger | sadness | fear | neutral,technology | environment | politics | entertainment | education | money
303,N303,anger | fear | neutral,sports | technology | environment | crime | health | entertainment | money
304,N304,joy | neutral,sports | technology | crime | environment | health | entertainment | education | money
305,N305,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
306,N306,neutral,sports | technology | environment | politics | entertainment | education
307,N307,disgust | joy | neutral,sports | technology | crime | environment | entertainment | money
308,N308,disgust | anger | joy | neutral,sports | technology | environment | crime | entertainment | money
309,N309,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
310,N310,disgust | neutral,environment | politics | crime | entertainment | money
311,N311,sadness | neutral,technology | environment | politics | entertainment | money
312,N312,neutral,sports | technology | crime | environment | entertainment | money
313,N313,neutral,sports | technology | environment | politics | health | entertainment | education | money
314,N314,anger | sadness | joy | neutral,sports | technology | environment | entertainment | education | money
315,N315,anger | neutral,sports | technology | environment | politics | entertainment | money
316,N316,joy | neutral,sports | technology | environment | entertainment | money
317,N317,anger | fear | neutral,technology | environment | crime | health | entertainment | education | money
318,N318,fear | neutral,technology | crime | environment | health | entertainment | money
319,N319,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
320,N320,fear | neutral,technology | environment | crime | entertainment | money
321,N321,anger | sadness | neutral,crime | environment | health | entertainment | money
322,N322,sadness | neutral,technology | environment | politics | entertainment | money
323,N323,sadness | neutral,technology | environment | politics | entertainment | money
324,N324,anger | sadness | neutral,technology | environment | politics | entertainment | money
325,N325,sadness | fear | neutral,sports | technology | politics | environment | crime | entertainment | money
326,N326,anger | neutral,sports | technology | crime | environment | entertainment | education | money
327,N327,sadness | fear | neutral,technology | crime | environment | health | entertainment | money
328,N328,neutral,technology | environment | crime | entertainment | money
329,N329,anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
330,N330,neutral,technology | environment | crime | entertainment | money
331,N331,disgust | anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
332,N332,fear | neutral,environment | entertainment | money | technology
333,N333,disgust | fear | sadness | neutral | anger,sports | environment | crime | health | entertainment | money
334,N334,disgust | anger | neutral,sports | technology | environment | crime | entertainment | money
335,N335,fear | neutral,technology | environment | health | entertainment | money
336,N336,neutral,sports | technology | politics | environment | entertainment | education | money
337,N337,disgust | sadness | neutral,sports | technology | environment | crime | entertainment | money
338,N338,anger | sadness | fear | neutral,sports | technology | environment | politics | crime | entertainment | money
339,N339,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
340,N340,sadness | neutral,technology | environment | crime | health | entertainment | money
341,N341,joy | neutral,politics | entertainment | technology | environment
342,N342,anger | fear | sadness | neutral,technology | crime | environment | entertainment | money
343,N343,sadness | joy | neutral | surprise,sports | technology | crime | environment | health | entertainment | money
344,N344,surprise | neutral,sports | technology | environment | entertainment | money
345,N345,sadness | neutral,sports | technology | environment | entertainment | money
346,N346,disgust | fear | neutral,crime | environment | health | entertainment | money
347,N347,joy | neutral,technology | environment | health | entertainment | education | money
348,N348,anger | neutral,technology | environment | politics | crime | health | entertainment
349,N349,anger | fear | joy | neutral,crime | environment | health | entertainment | money
350,N350,disgust | anger | surprise | neutral,environment | entertainment
351,N351,anger | sadness | surprise | neutral,technology | crime | politics | environment | health | entertainment
352,N352,disgust | anger | sadness | neutral,environment | crime | health | entertainment | money
353,N353,anger | sadness | neutral,crime | environment | health | entertainment | money
354,N354,disgust | anger | sadness | neutral,sports | environment | entertainment | education | money
355,N355,anger | sadness | neutral,sports | environment | crime | health | entertainment | money
356,N356,anger | sadness | joy | neutral,sports | crime | environment | entertainment | money
357,N357,fear | sadness | neutral,sports | environment | health | entertainment | money
358,N358,anger | fear | neutral,sports | technology | politics | crime | environment | entertainment
359,N359,fear | joy | neutral,technology | environment | crime | entertainment | money
360,N360,anger | sadness | fear | neutral,sports | technology | politics | environment | health | entertainment
361,N361,anger | neutral,environment | entertainment | sports | crime
362,N362,neutral,sports | environment | health | entertainment | money
363,N363,sadness | neutral,sports | technology | environment | crime | health | entertainment | money
364,N364,neutral,environment | entertainment | sports | money
365,N365,anger | neutral,sports | technology | environment | politics | crime | entertainment
366,N366,sadness | neutral,sports | environment | crime | entertainment | money
367,N367,disgust | anger | neutral,crime | entertainment | money | environment
368,N368,disgust | sadness | joy | neutral,crime | entertainment | money | environment
369,N369,fear | sadness | surprise | neutral,environment | entertainment | money | technology
370,N370,disgust | surprise | neutral | joy,sports | environment | politics | crime | entertainment
371,N371,disgust | joy | neutral,technology | environment | crime | health | entertainment
372,N372,disgust | neutral,sports | technology | environment | health | entertainment
373,N373,neutral,sports | environment | politics | crime | entertainment
374,N374,disgust | surprise | neutral,environment | politics | crime | health | entertainment | money
375,N375,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
376,N376,disgust | anger | joy | neutral,sports | crime | environment | health | entertainment
377,N377,disgust | anger | neutral,sports | technology | environment | politics | crime | entertainment
378,N378,anger | neutral,technology | environment | politics | crime | health | entertainment | money
379,N379,disgust | sadness | fear | neutral,technology | environment | politics | crime | health | entertainment | education | money
380,N380,anger | fear | sadness | neutral,technology | environment | crime | health | entertainment | money
381,N381,sadness | neutral,environment | entertainment | sports | health
382,N382,joy | neutral,environment | entertainment | technology
383,N383,joy | neutral,technology | crime | politics | environment | entertainment | money
384,N384,sadness | joy | neutral,sports | environment | politics | crime | health | entertainment | money
385,N385,neutral,technology | crime | environment | health | entertainment
386,N386,anger | neutral,sports | environment | crime | health | entertainment | money
387,N387,anger | sadness | joy | neutral,crime | entertainment | technology | environment
388,N388,disgust | fear | neutral,crime | environment | entertainment | education | money
389,N389,sadness | joy | neutral | surprise,technology | crime | environment | entertainment | money
390,N390,disgust | anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
391,N391,sadness | joy | neutral,environment | politics | health | entertainment | money
392,N392,sadness | neutral,technology | environment | crime | entertainment | money
393,N393,anger | neutral,technology | environment | crime | entertainment | money
394,N394,anger | surprise | joy | neutral,environment | crime | politics | health | entertainment | money
395,N395,anger | sadness | neutral,crime | environment | health | entertainment | money
396,N396,neutral,technology | crime | politics | environment | entertainment
397,N397,fear | sadness | joy | surprise | neutral,environment | entertainment | crime | technology
398,N398,sadness | neutral,environment | entertainment | crime
399,N399,anger | fear | sadness | neutral,technology | environment | crime | entertainment | money
400,N400,anger | neutral,environment | entertainment | technology | crime
401,N401,disgust | fear | neutral,technology | environment | health | entertainment | education | money
402,N402,anger | neutral,sports | technology | crime | environment | health | entertainment
403,N403,anger | surprise | neutral,sports | technology | environment | crime | politics | entertainment | money
404,N404,anger | fear | neutral,environment | politics | crime | entertainment | money
405,N405,anger | surprise | neutral | joy,sports | technology | crime | environment | health | entertainment
406,N406,disgust | sadness | neutral,technology | environment | crime | health | entertainment
407,N407,disgust | sadness | surprise | neutral,technology | crime | environment | health | entertainment
408,N408,sadness | neutral,environment | entertainment | technology | health
409,N409,sadness | neutral,technology | environment | crime | politics | health | entertainment
410,N410,disgust | fear | sadness | neutral | anger,technology | environment | crime | health | entertainment | education
411,N411,disgust | anger | sadness | neutral,technology | environment | crime | health | entertainment
412,N412,disgust | sadness | fear | neutral,technology | environment | crime | health | entertainment | money
413,N413,sadness | neutral,technology | environment | crime | health | entertainment | education
414,N414,disgust | fear | neutral,sports | technology | environment | health | entertainment | education
415,N415,anger | sadness | fear | neutral,technology | environment | politics | crime | health | entertainment | education | money
416,N416,disgust | anger | sadness | neutral,sports | technology | environment | crime | politics | health | entertainment
417,N417,sadness | neutral,technology | environment | crime | health | entertainment
418,N418,sadness | neutral,sports | technology | environment | politics | crime | entertainment | money
419,N419,sadness | neutral,environment | entertainment | crime | health
420,N420,neutral,sports | technology | environment | health | entertainment
421,N421,disgust | sadness | fear | neutral,environment | politics | crime | health
422,N422,disgust | neutral,environment | entertainment | technology | health
423,N423,sadness | surprise | neutral,sports | technology | crime | environment | health | entertainment
424,N424,anger | neutral,sports | technology | environment | crime | health | entertainment | money
425,N425,sadness | neutral,sports | technology | environment | crime | health | entertainment
426,N426,sadness | surprise | neutral,technology | crime | environment | health | entertainment | money
427,N427,sadness | neutral,technology | environment | crime | health | entertainment | money
428,N428,anger | sadness | neutral,sports | technology | crime | environment | health | entertainment
