Doc,Emotions,Topics
58,anger | sadness | neutral,technology | crime | politics | environment | entertainment
59,anger | sadness | neutral,crime | politics | environment | entertainment | education | money
60,anger | sadness | neutral,environment | politics | crime | entertainment | money
61,anger | sadness | neutral,technology | environment | politics | crime | entertainment | education
62,sadness | surprise | joy | neutral | anger,technology | politics | environment | crime | health | entertainment
63,neutral,technology | politics | crime | environment | entertainment | money
64,sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
65,fear | sadness | neutral,environment | crime | health | entertainment | money
66,disgust | anger | surprise | neutral,crime | entertainment | politics | environment
67,anger | sadness | neutral,technology | crime | politics | environment | health | entertainment
68,neutral,technology | crime | environment | politics | entertainment | education | money
69,fear | neutral,technology | environment | crime | health | entertainment | money
70,anger | fear | neutral,technology | crime | politics | environment | entertainment
71,disgust | anger | neutral,technology | crime | politics | environment | entertainment | money
72,neutral,technology | politics | environment | crime | entertainment | money
73,anger | neutral,technology | crime | environment | politics | entertainment | money
74,anger | sadness | neutral,sports | technology | environment | politics | entertainment | money
75,anger | neutral,technology | politics | environment | crime | entertainment | money
76,sadness | neutral,technology | politics | crime | environment | entertainment | money
77,anger | neutral,politics | entertainment | crime | environment
78,sadness | joy | neutral,sports | environment | politics | crime | health | entertainment | money
79,disgust | anger | neutral,crime | politics | environment | health | entertainment | money
80,neutral,technology | environment | politics | crime | entertainment | money
81,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
82,disgust | sadness | neutral,technology | crime | environment | politics | entertainment | money
83,disgust | joy | neutral,technology | environment | politics | crime | health | entertainment | money
84,anger | neutral,technology | environment | politics | crime | health | entertainment
85,anger | sadness | neutral,politics | crime | environment | health | entertainment | education
86,anger | sadness | joy | neutral,technology | crime | politics | environment | entertainment
87,neutral,sports | technology | environment | crime | entertainment | money
88,anger | neutral,technology | environment | politics | crime | health | entertainment | money
89,anger | neutral,technology | politics | crime | environment | entertainment
90,disgust | anger | neutral,technology | environment | crime | politics | entertainment | money
91,anger | fear | sadness | neutral,technology | crime | environment | politics | health | entertainment | money
92,anger | neutral,technology | environment | health | entertainment | education | money
93,anger | joy | neutral,technology | politics | crime | environment | entertainment | money
94,anger | fear | neutral,sports | environment | politics | crime | entertainment | money
95,neutral,sports | technology | environment | politics | crime | entertainment | education
96,disgust | anger | neutral,technology | politics | environment | entertainment | money
97,neutral,crime | entertainment | environment
98,anger | fear | neutral,crime | entertainment | politics | environment
99,anger | neutral,crime | entertainment | environment
100,disgust | anger | sadness | neutral,technology | politics | crime | environment | health | entertainment
101,neutral,technology | crime | environment | politics | entertainment | money
102,anger | neutral,technology | environment | politics | crime | entertainment | money
103,neutral,sports | technology | environment | politics | crime | entertainment | money
104,anger | fear | sadness | neutral,environment | entertainment | money | crime
105,fear | sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
106,anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
107,anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | money
108,sadness | neutral,environment | entertainment | technology | crime
109,anger | sadness | neutral,environment | politics | crime | health | entertainment | money
110,anger | fear | neutral,technology | environment | politics | crime | entertainment | money
111,anger | surprise | neutral,technology | environment | politics | crime | entertainment | money
112,neutral,technology | environment | politics | crime | health | entertainment | money
113,disgust | fear | joy | neutral,technology | environment | politics | crime | entertainment | education | money
114,anger | sadness | neutral,technology | crime | environment | politics | health | entertainment | education | money
115,anger | sadness | joy | neutral,environment | politics | crime | entertainment | education | money
116,sadness | neutral,environment | entertainment | technology | crime
117,anger | fear | joy | neutral,technology | crime | environment | entertainment | money
118,disgust | anger | sadness | neutral,environment | entertainment | technology | crime
119,anger | fear | neutral,sports | technology | environment | crime | health | entertainment | education | money
120,anger | sadness | joy | neutral,sports | technology | crime | environment | health | entertainment | money
121,anger | fear | neutral,technology | crime | politics | environment | health | entertainment | money
122,neutral,technology | crime | politics | environment | entertainment
123,anger | sadness | neutral,technology | crime | environment | health | entertainment | money
124,anger | fear | neutral,environment | politics | crime | health | entertainment | money
125,fear | neutral,environment | entertainment | crime
126,anger | joy | neutral,sports | environment | crime | health | entertainment
127,anger | fear | neutral,sports | technology | crime | environment | politics | health | entertainment | money
128,anger | fear | neutral,environment | crime | health | entertainment | money
129,anger | sadness | fear | neutral,crime | politics | environment | entertainment | education
130,fear | sadness | neutral,technology | politics | crime | environment | health | entertainment | money
131,disgust | fear | sadness | neutral | anger,environment | politics | crime | entertainment | money
132,anger | fear | neutral,technology | crime | environment | entertainment | education | money
133,anger | fear | neutral,environment | entertainment | technology | crime
134,sadness | neutral,environment | entertainment | politics | crime
135,anger | sadness | neutral,sports | technology | politics | environment | crime | health | entertainment
136,sadness | fear | neutral,technology | environment | politics | crime | entertainment | money
137,anger | fear | neutral,environment | entertainment | technology | crime
138,anger | fear | sadness | neutral,technology | crime | environment | health | entertainment | money
139,fear | sadness | neutral,technology | crime | environment | entertainment | money
140,disgust | sadness | neutral,technology | environment | health | entertainment | money
141,anger | fear | neutral,crime | entertainment | education | environment
142,fear | neutral,technology | environment | crime | health | entertainment | education
143,anger | sadness | neutral,environment | entertainment | technology | crime
144,anger | sadness | neutral,sports | technology | environment | politics | crime | entertainment
145,anger | neutral,technology | crime | politics | environment | entertainment | money
146,anger | fear | sadness | neutral,environment | politics | crime | health | entertainment | money
147,sadness | fear | neutral,technology | crime | politics | environment | health | entertainment
148,disgust | anger | fear | neutral,sports | technology | crime | environment | entertainment
149,disgust | fear | sadness | neutral | anger,environment | politics | crime | health | entertainment
150,anger | fear | neutral,environment | entertainment | politics | crime
151,disgust | fear | sadness | neutral | anger,technology | environment | crime | politics | health | entertainment | money
152,anger | sadness | fear | neutral,technology | environment | crime | politics | health | money
153,anger | fear | neutral,sports | technology | crime | politics | environment | entertainment
154,disgust | fear | sadness | neutral | anger,crime | environment | politics | health | entertainment
155,sadness | fear | neutral,technology | environment | politics | crime | entertainment | education
156,sadness | surprise | neutral,crime | politics | environment | health | entertainment
157,anger | fear | neutral,technology | environment | crime | politics | entertainment | education | money
158,disgust | fear | sadness | joy | surprise | neutral,sports | technology | politics | crime | environment | entertainment | money
159,neutral,technology | environment | crime | health | entertainment | education | money
160,anger | fear | neutral,technology | environment | crime | politics | health | entertainment
161,neutral,sports | environment | politics | crime | health | entertainment
162,disgust | anger | fear | neutral,sports | technology | crime | environment | politics | health | entertainment | money
163,disgust | anger | sadness | neutral,politics | crime | environment | health | entertainment | money
164,surprise | neutral,sports | environment | politics | crime | entertainment
165,disgust | anger | neutral,environment | crime | politics | health | entertainment | money
166,anger | joy | neutral,environment | entertainment | crime | technology
167,sadness | neutral,technology | politics | crime | environment | health | entertainment | money
168,disgust | anger | neutral,environment | politics | crime | entertainment | money
169,anger | fear | neutral,sports | technology | politics | crime | environment | health | entertainment | money
170,disgust | neutral,environment | entertainment | money | technology
171,anger | surprise | neutral,environment | entertainment | politics | crime
172,anger | sadness | fear | neutral,sports | environment | crime | health | entertainment | money
173,disgust | fear | joy | neutral | anger,environment | entertainment | money | crime
174,anger | neutral,technology | environment | crime | entertainment | education
175,neutral,technology | environment | crime | entertainment | money
176,neutral,technology | environment | politics | health | entertainment | money
177,neutral,sports | politics | crime | environment | entertainment | money
178,disgust | anger | neutral,environment | crime | health | entertainment | money
179,fear | sadness | joy | neutral | anger,technology | environment | crime | politics | health | entertainment | education | money
180,anger | sadness | neutral,environment | politics | crime | health | entertainment | money
181,anger | fear | surprise | neutral,technology | politics | crime | environment | health | entertainment
182,sadness | neutral,technology | environment | politics | crime | entertainment | money
183,anger | neutral,environment | entertainment | crime | health
184,anger | neutral,technology | politics | crime | environment | entertainment
185,neutral,environment | politics | crime | entertainment | money
186,disgust | anger | neutral,environment | politics | crime | entertainment | money
187,anger | sadness | neutral,crime | environment | health | entertainment | money
188,sadness | neutral,sports | environment | crime | health | entertainment | money
189,disgust | fear | sadness | neutral | anger,environment | entertainment | crime | technology
190,anger | sadness | fear | neutral,technology | environment | politics | health | entertainment
191,anger | neutral,sports | environment | crime | politics | entertainment | money
192,anger | fear | neutral,sports | politics | crime | environment | entertainment
193,disgust | anger | sadness | neutral,sports | technology | environment | politics | crime | health | entertainment | education | money
194,neutral,technology | environment | politics | health | entertainment | money
195,neutral,environment | entertainment | politics | technology
196,neutral,environment | entertainment | technology
197,disgust | neutral,environment | crime | politics | health | entertainment | money
198,sadness | neutral,technology | crime | environment | politics | health | entertainment | money
199,anger | neutral,technology | politics | crime | environment | health | entertainment | money
200,neutral,environment | entertainment | technology | crime
201,anger | fear | neutral,technology | politics | crime | environment | entertainment
202,fear | neutral,sports | environment | crime | health | entertainment | money
203,anger | sadness | joy | neutral,technology | environment | crime | politics | health | entertainment | education | money
204,sadness | neutral,sports | politics | crime | environment | health | entertainment
205,neutral,technology | environment | politics | crime | entertainment | education | money
206,disgust | anger | fear | neutral,technology | politics | environment | crime | entertainment | money
207,anger | neutral,environment | politics | health | entertainment | education
208,disgust | sadness | neutral,technology | environment | crime | health | entertainment
209,neutral,technology | environment | crime | politics | entertainment | money
210,disgust | anger | sadness | neutral,technology | environment | crime | politics | health | entertainment | money
211,disgust | anger | joy | neutral,sports | environment | politics | health | entertainment | education | money
212,sadness | neutral,politics | entertainment | environment | health
213,sadness | joy | neutral,technology | crime | environment | health | entertainment | money
214,anger | neutral,technology | environment | crime | health | entertainment
215,disgust | anger | sadness | neutral,environment | entertainment | politics | education
216,surprise | neutral,crime | entertainment | environment
217,sadness | surprise | neutral,technology | crime | environment | politics | entertainment | money
218,anger | joy | neutral,sports | technology | crime | environment | entertainment | money
219,disgust | fear | sadness | joy | neutral,environment | crime | health | entertainment | money
220,fear | sadness | joy | neutral,technology | politics | environment | health | entertainment | education
221,disgust | sadness | neutral,environment | politics | crime | health | entertainment | money
222,anger | sadness | surprise | neutral,technology | environment | politics | crime | entertainment | money
223,sadness | fear | neutral,technology | environment | crime | health | entertainment
224,fear | neutral,technology | crime | environment | health | entertainment | education | money
225,disgust | anger | sadness | neutral,technology | environment | crime | politics | health | entertainment
226,anger | sadness | neutral,sports | technology | environment | health | entertainment | money
227,disgust | anger | neutral,technology | environment | politics | crime | health | entertainment
228,anger | neutral,technology | environment | politics | crime | entertainment | education | money
229,joy | neutral,technology | environment | crime | entertainment | money
230,neutral,sports | technology | environment | crime | politics | entertainment
231,neutral,sports | technology | environment | crime | health | entertainment
232,anger | fear | neutral,technology | environment | politics | crime | health | entertainment | money
233,anger | joy | neutral,environment | crime | politics | entertainment | education | money
234,fear | neutral,sports | technology | environment | politics | health | entertainment | education | money
235,sadness | neutral,technology | environment | politics | crime | entertainment | money
236,disgust | anger | sadness | neutral,technology | politics | crime | environment | health | entertainment | money
237,neutral,technology | environment | politics | crime | entertainment | money
238,anger | sadness | neutral,technology | environment | politics | entertainment | money
239,sadness | joy | neutral,environment | entertainment | money | technology
240,disgust | anger | sadness | neutral,technology | environment | crime | politics | education | money
241,sadness | neutral,technology | environment | politics | health | entertainment | money
242,disgust | sadness | neutral,technology | environment | entertainment | education | money
243,joy | neutral,technology | environment | crime | health | entertainment | money
244,sadness | joy | neutral,politics | entertainment | money | environment
245,fear | neutral,technology | crime | environment | entertainment | education | money
246,joy | neutral,technology | environment | politics | crime | entertainment | money
247,disgust | neutral,technology | environment | politics | health | entertainment | money
248,anger | neutral,technology | environment | crime | entertainment | money
249,sadness | neutral,environment | entertainment | money | technology
250,sadness | fear | neutral,technology | politics | crime | environment | entertainment | money
251,anger | fear | neutral,technology | environment | politics | crime | entertainment | money
252,neutral,technology | environment | crime | entertainment | money
253,sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
254,neutral,technology | crime | politics | environment | entertainment | money
255,fear | neutral,technology | politics | environment | entertainment | money
256,neutral,technology | environment | politics | crime | entertainment | money
257,neutral,sports | technology | environment | crime | education | money
258,anger | joy | neutral,technology | environment | crime | politics | entertainment | money
259,sadness | neutral,sports | technology | environment | crime | entertainment | money
260,sadness | joy | neutral,sports | technology | environment | crime | politics | entertainment | money
261,disgust | anger | neutral,technology | environment | crime | health | entertainment | money
262,anger | sadness | neutral,environment | entertainment | money | technology
263,anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
264,sadness | neutral,environment | entertainment | money | technology
265,fear | sadness | neutral,technology | environment | crime | health | entertainment | money
266,anger | neutral,technology | environment | crime | politics | entertainment | money
267,anger | sadness | neutral,technology | environment | crime | politics | entertainment | money
268,anger | fear | neutral,technology | environment | politics | entertainment | education | money
269,fear | sadness | neutral,technology | environment | health | entertainment | education | money
270,anger | neutral,technology | environment | politics | entertainment | money
271,disgust | anger | neutral,technology | environment | politics | crime | entertainment | money
272,sadness | neutral,technology | environment | crime | entertainment | money
273,anger | neutral,technology | crime | politics | environment | entertainment | money
274,disgust | sadness | neutral,technology | politics | environment | crime | entertainment | money
275,anger | sadness | neutral,environment | entertainment | money | technology
276,sadness | neutral,sports | environment | crime | politics | health | entertainment | money
277,neutral,technology | environment | politics | crime | entertainment | money
278,anger | fear | neutral,technology | environment | politics | health | entertainment | education | money
279,joy | neutral,technology | environment | politics | crime | entertainment | money
280,neutral,technology | environment | health | entertainment | money
281,sadness | neutral,technology | environment | crime | entertainment | money
282,anger | sadness | neutral,environment | entertainment | money | technology
283,sadness | joy | neutral,technology | environment | crime | health | entertainment | money
284,sadness | neutral,technology | environment | crime | politics | entertainment | money
285,anger | sadness | joy | neutral,technology | environment | politics | crime | health | entertainment | money
286,disgust | fear | sadness | neutral,environment | entertainment | money | technology
287,sadness | neutral,technology | environment | politics | crime | entertainment | money
288,neutral,technology | environment | politics | crime | health | entertainment | money
289,neutral,environment | entertainment | money | technology
290,anger | neutral,sports | technology | crime | environment | entertainment | money
291,fear | neutral,sports | technology | environment | crime | entertainment | money
292,anger | fear | neutral,technology | environment | politics | health | entertainment | education | money
293,neutral,sports | technology | environment | politics | health | entertainment | money
294,anger | sadness | neutral,sports | technology | crime | environment | entertainment | money
295,fear | surprise | neutral,technology | environment | crime | entertainment | money
296,sadness | neutral,technology | crime | environment | politics | health | entertainment
297,anger | sadness | neutral,sports | technology | environment | crime | politics | entertainment | money
298,neutral,technology | environment | politics | crime | entertainment | money
299,anger | joy | neutral,sports | technology | environment | crime | entertainment | money
300,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
301,anger | sadness | neutral,environment | entertainment | money | technology
302,anger | sadness | fear | neutral,technology | environment | politics | entertainment | education | money
303,anger | fear | neutral,sports | technology | environment | crime | health | entertainment | money
304,joy | neutral,sports | technology | crime | environment | health | entertainment | education | money
305,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
306,neutral,sports | technology | environment | politics | entertainment | education
307,disgust | joy | neutral,sports | technology | crime | environment | entertainment | money
308,disgust | anger | joy | neutral,sports | technology | environment | crime | entertainment | money
309,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
310,disgust | neutral,environment | politics | crime | entertainment | money
311,sadness | neutral,technology | environment | politics | entertainment | money
312,neutral,sports | technology | crime | environment | entertainment | money
313,neutral,sports | technology | environment | politics | health | entertainment | education | money
314,anger | sadness | joy | neutral,sports | technology | environment | entertainment | education | money
315,anger | neutral,sports | technology | environment | politics | entertainment | money
316,joy | neutral,sports | technology | environment | entertainment | money
317,anger | fear | neutral,technology | environment | crime | health | entertainment | education | money
318,fear | neutral,technology | crime | environment | health | entertainment | money
319,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
320,fear | neutral,technology | environment | crime | entertainment | money
321,anger | sadness | neutral,crime | environment | health | entertainment | money
322,sadness | neutral,technology | environment | politics | entertainment | money
323,sadness | neutral,technology | environment | politics | entertainment | money
324,anger | sadness | neutral,technology | environment | politics | entertainment | money
325,sadness | fear | neutral,sports | technology | politics | environment | crime | entertainment | money
326,anger | neutral,sports | technology | crime | environment | entertainment | education | money
327,sadness | fear | neutral,technology | crime | environment | health | entertainment | money
328,neutral,technology | environment | crime | entertainment | money
329,anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
330,neutral,technology | environment | crime | entertainment | money
331,disgust | anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
332,fear | neutral,environment | entertainment | money | technology
333,disgust | fear | sadness | neutral | anger,sports | environment | crime | health | entertainment | money
334,disgust | anger | neutral,sports | technology | environment | crime | entertainment | money
335,fear | neutral,technology | environment | health | entertainment | money
336,neutral,sports | technology | politics | environment | entertainment | education | money
337,disgust | sadness | neutral,sports | technology | environment | crime | entertainment | money
338,anger | sadness | fear | neutral,sports | technology | environment | politics | crime | entertainment | money
339,anger | sadness | neutral,sports | technology | environment | crime | entertainment | money
340,sadness | neutral,technology | environment | crime | health | entertainment | money
341,joy | neutral,politics | entertainment | technology | environment
342,anger | fear | sadness | neutral,technology | crime | environment | entertainment | money
343,sadness | joy | neutral | surprise,sports | technology | crime | environment | health | entertainment | money
344,surprise | neutral,sports | technology | environment | entertainment | money
345,sadness | neutral,sports | technology | environment | entertainment | money
346,disgust | fear | neutral,crime | environment | health | entertainment | money
347,joy | neutral,technology | environment | health | entertainment | education | money
348,anger | neutral,technology | environment | politics | crime | health | entertainment
349,anger | fear | joy | neutral,crime | environment | health | entertainment | money
350,disgust | anger | surprise | neutral,environment | entertainment
351,anger | sadness | surprise | neutral,technology | crime | politics | environment | health | entertainment
352,disgust | anger | sadness | neutral,environment | crime | health | entertainment | money
353,anger | sadness | neutral,crime | environment | health | entertainment | money
354,disgust | anger | sadness | neutral,sports | environment | entertainment | education | money
355,anger | sadness | neutral,sports | environment | crime | health | entertainment | money
356,anger | sadness | joy | neutral,sports | crime | environment | entertainment | money
357,fear | sadness | neutral,sports | environment | health | entertainment | money
358,anger | fear | neutral,sports | technology | politics | crime | environment | entertainment
359,fear | joy | neutral,technology | environment | crime | entertainment | money
360,anger | sadness | fear | neutral,sports | technology | politics | environment | health | entertainment
361,anger | neutral,environment | entertainment | sports | crime
362,neutral,sports | environment | health | entertainment | money
363,sadness | neutral,sports | technology | environment | crime | health | entertainment | money
364,neutral,environment | entertainment | sports | money
365,anger | neutral,sports | technology | environment | politics | crime | entertainment
366,sadness | neutral,sports | environment | crime | entertainment | money
367,disgust | anger | neutral,crime | entertainment | money | environment
368,disgust | sadness | joy | neutral,crime | entertainment | money | environment
369,fear | sadness | surprise | neutral,environment | entertainment | money | technology
370,disgust | surprise | neutral | joy,sports | environment | politics | crime | entertainment
371,disgust | joy | neutral,technology | environment | crime | health | entertainment
372,disgust | neutral,sports | technology | environment | health | entertainment
373,neutral,sports | environment | politics | crime | entertainment
374,disgust | surprise | neutral,environment | politics | crime | health | entertainment | money
375,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
376,disgust | anger | joy | neutral,sports | crime | environment | health | entertainment
377,disgust | anger | neutral,sports | technology | environment | politics | crime | entertainment
378,anger | neutral,technology | environment | politics | crime | health | entertainment | money
379,disgust | sadness | fear | neutral,technology | environment | politics | crime | health | entertainment | education | money
380,anger | fear | sadness | neutral,technology | environment | crime | health | entertainment | money
381,sadness | neutral,environment | entertainment | sports | health
382,joy | neutral,environment | entertainment | technology
383,joy | neutral,technology | crime | politics | environment | entertainment | money
384,sadness | joy | neutral,sports | environment | politics | crime | health | entertainment | money
385,neutral,technology | crime | environment | health | entertainment
386,anger | neutral,sports | environment | crime | health | entertainment | money
387,anger | sadness | joy | neutral,crime | entertainment | technology | environment
388,disgust | fear | neutral,crime | environment | entertainment | education | money
389,sadness | joy | neutral | surprise,technology | crime | environment | entertainment | money
390,disgust | anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
391,sadness | joy | neutral,environment | politics | health | entertainment | money
392,sadness | neutral,technology | environment | crime | entertainment | money
393,anger | neutral,technology | environment | crime | entertainment | money
394,anger | surprise | joy | neutral,environment | crime | politics | health | entertainment | money
395,anger | sadness | neutral,crime | environment | health | entertainment | money
396,neutral,technology | crime | politics | environment | entertainment
397,fear | sadness | joy | surprise | neutral,environment | entertainment | crime | technology
398,sadness | neutral,environment | entertainment | crime
399,anger | fear | sadness | neutral,technology | environment | crime | entertainment | money
400,anger | neutral,environment | entertainment | technology | crime
401,disgust | fear | neutral,technology | environment | health | entertainment | education | money
402,anger | neutral,sports | technology | crime | environment | health | entertainment
403,anger | surprise | neutral,sports | technology | environment | crime | politics | entertainment | money
404,anger | fear | neutral,environment | politics | crime | entertainment | money
405,anger | surprise | neutral | joy,sports | technology | crime | environment | health | entertainment
406,disgust | sadness | neutral,technology | environment | crime | health | entertainment
407,disgust | sadness | surprise | neutral,technology | crime | environment | health | entertainment
408,sadness | neutral,environment | entertainment | technology | health
409,sadness | neutral,technology | environment | crime | politics | health | entertainment
410,disgust | fear | sadness | neutral | anger,technology | environment | crime | health | entertainment | education
411,disgust | anger | sadness | neutral,technology | environment | crime | health | entertainment
412,disgust | sadness | fear | neutral,technology | environment | crime | health | entertainment | money
413,sadness | neutral,technology | environment | crime | health | entertainment | education
414,disgust | fear | neutral,sports | technology | environment | health | entertainment | education
415,anger | sadness | fear | neutral,technology | environment | politics | crime | health | entertainment | education | money
416,disgust | anger | sadness | neutral,sports | technology | environment | crime | politics | health | entertainment
417,sadness | neutral,technology | environment | crime | health | entertainment
418,sadness | neutral,sports | technology | environment | politics | crime | entertainment | money
419,sadness | neutral,environment | entertainment | crime | health
420,neutral,sports | technology | environment | health | entertainment
421,disgust | sadness | fear | neutral,environment | politics | crime | health
422,disgust | neutral,environment | entertainment | technology | health
423,sadness | surprise | neutral,sports | technology | crime | environment | health | entertainment
424,anger | neutral,sports | technology | environment | crime | health | entertainment | money
425,sadness | neutral,sports | technology | environment | crime | health | entertainment
426,sadness | surprise | neutral,technology | crime | environment | health | entertainment | money
427,sadness | neutral,technology | environment | crime | health | entertainment | money
428,anger | sadness | neutral,sports | technology | crime | environment | health | entertainment
429,sadness | neutral,technology | environment | politics | crime | health | entertainment
430,fear | sadness | neutral,technology | environment | politics | health | entertainment | money
431,disgust | neutral,technology | politics | environment | crime | health | entertainment
432,sadness | neutral,sports | technology | crime | environment | health | entertainment | education | money
433,disgust | fear | sadness | surprise | neutral | anger,sports | technology | crime | environment | health | entertainment
434,fear | sadness | joy | neutral,technology | environment | crime | health | entertainment
435,disgust | anger | neutral,environment | entertainment | crime | health
436,anger | sadness | surprise | neutral,environment | entertainment | crime | health
437,anger | fear | joy | neutral,sports | technology | environment | crime | health | entertainment
438,disgust | sadness | neutral,technology | crime | environment | health | entertainment
439,disgust | sadness | neutral,crime | environment | health | entertainment | education
440,disgust | sadness | neutral,environment | crime | health | entertainment | money
441,anger | neutral,sports | technology | environment | crime | health | entertainment
442,sadness | neutral,technology | environment | crime | health | entertainment
443,anger | sadness | neutral,sports | technology | environment | crime | health | entertainment
444,anger | sadness | joy | neutral,sports | technology | environment | health | entertainment | education
445,anger | sadness | neutral,environment | entertainment | technology | health
446,fear | sadness | surprise | neutral,sports | technology | environment | crime | health | entertainment | education
447,anger | sadness | neutral,crime | environment | politics | health | entertainment | education
448,sadness | neutral,technology | environment | politics | crime | health | entertainment
449,anger | sadness | neutral,crime | environment | politics | health | entertainment | money
450,disgust | sadness | neutral,environment | entertainment | crime | health
451,disgust | sadness | neutral,sports | technology | environment | crime | health | entertainment
452,disgust | sadness | joy | neutral,environment | entertainment | crime | health
453,anger | fear | joy | neutral,sports | environment | crime | health | entertainment | money
454,disgust | sadness | neutral,environment | entertainment | crime | health
455,sadness | neutral,technology | crime | politics | environment | health
456,disgust | sadness | neutral,sports | environment | crime | health | entertainment | money
457,sadness | neutral,sports | technology | crime | environment | health | entertainment
458,sadness | neutral,sports | technology | environment | health | entertainment
459,fear | neutral,technology | environment | crime | health | entertainment
460,disgust | anger | sadness | neutral,technology | environment | crime | health | entertainment | education
461,fear | sadness | surprise | neutral | anger,technology | environment | crime | health | entertainment
462,disgust | anger | neutral,sports | environment | crime | politics | health | entertainment | education
463,anger | neutral,sports | technology | environment | politics | health | entertainment
464,disgust | sadness | neutral,environment | health | entertainment | education | money
465,fear | sadness | neutral | surprise,sports | technology | crime | environment | entertainment
466,disgust | neutral,environment | entertainment | money | crime
467,anger | sadness | neutral,sports | technology | environment | crime | entertainment
468,anger | sadness | fear | neutral,environment | entertainment | crime | health
469,anger | fear | neutral,environment | entertainment | politics | money
470,disgust | anger | sadness | neutral,sports | environment | entertainment | education | money
471,anger | sadness | neutral,sports | technology | crime | environment | entertainment
