Doc,Emotions,Topics
N015,disgust,education
N015,disgust,money
N015,sadness,politics
N015,sadness,crime
N015,sadness,environment
N015,sadness,education
N015,sadness,money
N015,joy,politics
N015,joy,crime
N015,joy,environment
N015,joy,education
N015,joy,money
N015,neutral,politics
N015,neutral,crime
N015,neutral,environment
N015,neutral,education
N015,neutral,money
N015,anger,politics
N015,anger,crime
N015,anger,environment
N015,anger,education
N015,anger,money
N016,anger,technology
N016,anger,crime
N016,anger,politics
N016,anger,environment
N016,anger,entertainment
N016,anger,money
N016,fear,technology
N016,fear,crime
N016,fear,politics
N016,fear,environment
N016,fear,entertainment
N016,fear,money
N016,neutral,technology
N016,neutral,crime
N016,neutral,politics
N016,neutral,environment
N016,neutral,entertainment
N016,neutral,money
N017,disgust,technology
N017,disgust,environment
N017,disgust,crime
N017,disgust,health
N017,disgust,entertainment
N017,anger,technology
N017,anger,environment
N017,anger,crime
N017,anger,health
N017,anger,entertainment
N017,sadness,technology
N017,sadness,environment
N017,sadness,crime
N017,sadness,health
N017,sadness,entertainment
N017,neutral,technology
N017,neutral,environment
N017,neutral,crime
N017,neutral,health
N017,neutral,entertainment
N018,anger,environment
N018,anger,entertainment
N018,anger,crime
N018,neutral,environment
N018,neutral,entertainment
N018,neutral,crime
N019,sadness,technology
N019,sadness,politics
N019,sadness,crime
N019,sadness,environment
N019,sadness,entertainment
N019,sadness,money
N019,neutral,technology
N019,neutral,politics
N019,neutral,crime
N019,neutral,environment
N019,neutral,entertainment
N019,neutral,money
N020,anger,technology
N020,anger,environment
N020,anger,crime
N020,anger,health
N020,anger,entertainment
N020,anger,money
N020,joy,technology
N020,joy,environment
N020,joy,crime
N020,joy,health
N020,joy,entertainment
N020,joy,money
N020,neutral,technology
N020,neutral,environment
N020,neutral,crime
N020,neutral,health
N020,neutral,entertainment
N020,neutral,money
N021,disgust,crime
N021,disgust,entertainment
N021,disgust,environment
N021,anger,crime
N021,anger,entertainment
N021,anger,environment
N021,neutral,crime
N021,neutral,entertainment
N021,neutral,environment
N022,disgust,environment
N022,disgust,crime
N022,disgust,politics
N022,disgust,health
N022,disgust,entertainment
N022,disgust,money
N022,fear,environment
N022,fear,crime
N022,fear,politics
N022,fear,health
N022,fear,entertainment
N022,fear,money
N022,sadness,environment
N022,sadness,crime
N022,sadness,politics
N022,sadness,health
N022,sadness,entertainment
N022,sadness,money
N022,neutral,environment
N022,neutral,crime
N022,neutral,politics
N022,neutral,health
N022,neutral,entertainment
N022,neutral,money
N022,anger,environment
N022,anger,crime
N022,anger,politics
N022,anger,health
N022,anger,entertainment
N022,anger,money
N023,sadness,politics
N023,sadness,crime
N023,sadness,environment
N023,sadness,entertainment
N023,sadness,money
N023,joy,politics
N023,joy,crime
N023,joy,environment
N023,joy,entertainment
N023,joy,money
N023,neutral,politics
N023,neutral,crime
N023,neutral,environment
N023,neutral,entertainment
N023,neutral,money
N024,disgust,crime
N024,disgust,environment
N024,disgust,health
N024,disgust,entertainment
N024,disgust,money
N024,fear,crime
N024,fear,environment
N024,fear,health
N024,fear,entertainment
N024,fear,money
N024,sadness,crime
N024,sadness,environment
N024,sadness,health
N024,sadness,entertainment
N024,sadness,money
N024,neutral,crime
N024,neutral,environment
N024,neutral,health
N024,neutral,entertainment
N024,neutral,money
N025,disgust,crime
N025,disgust,entertainment
N025,disgust,money
N025,disgust,environment
N025,fear,crime
N025,fear,entertainment
N025,fear,money
N025,fear,environment
N025,neutral,crime
N025,neutral,entertainment
N025,neutral,money
N025,neutral,environment
N026,anger,technology
N026,anger,environment
N026,anger,crime
N026,anger,health
N026,anger,entertainment
N026,anger,money
N026,sadness,technology
N026,sadness,environment
N026,sadness,crime
N026,sadness,health
N026,sadness,entertainment
N026,sadness,money
N026,joy,technology
N026,joy,environment
N026,joy,crime
N026,joy,health
N026,joy,entertainment
N026,joy,money
N026,neutral,technology
N026,neutral,environment
N026,neutral,crime
N026,neutral,health
N026,neutral,entertainment
N026,neutral,money
N027,fear,environment
N027,fear,politics
N027,fear,crime
N027,fear,health
N027,fear,entertainment
N027,fear,money
N027,neutral,environment
N027,neutral,politics
N027,neutral,crime
N027,neutral,health
N027,neutral,entertainment
N027,neutral,money
N028,fear,crime
N028,fear,politics
N028,fear,environment
N028,fear,health
N028,fear,entertainment
N028,fear,money
N028,sadness,crime
N028,sadness,politics
N028,sadness,environment
N028,sadness,health
N028,sadness,entertainment
N028,sadness,money
N028,joy,crime
N028,joy,politics
N028,joy,environment
N028,joy,health
N028,joy,entertainment
N028,joy,money
N028,neutral,crime
N028,neutral,politics
N028,neutral,environment
N028,neutral,health
N028,neutral,entertainment
N028,neutral,money
N028,anger,crime
N028,anger,politics
N028,anger,environment
N028,anger,health
N028,anger,entertainment
N028,anger,money
N029,anger,technology
N029,anger,crime
N029,anger,environment
N029,anger,politics
N029,anger,entertainment
N029,anger,money
N029,joy,technology
N029,joy,crime
N029,joy,environment
N029,joy,politics
N029,joy,entertainment
N029,joy,money
N029,neutral,technology
N029,neutral,crime
N029,neutral,environment
N029,neutral,politics
N029,neutral,entertainment
N029,neutral,money
N030,anger,technology
N030,anger,environment
N030,anger,crime
N030,anger,entertainment
N030,anger,money
N030,fear,technology
N030,fear,environment
N030,fear,crime
N030,fear,entertainment
N030,fear,money
N030,joy,technology
N030,joy,environment
N030,joy,crime
N030,joy,entertainment
N030,joy,money
N030,neutral,technology
N030,neutral,environment
N030,neutral,crime
N030,neutral,entertainment
N030,neutral,money
N031,anger,crime
N031,anger,politics
N031,anger,environment
N031,anger,entertainment
N031,anger,money
N031,surprise,crime
N031,surprise,politics
N031,surprise,environment
N031,surprise,entertainment
N031,surprise,money
N031,neutral,crime
N031,neutral,politics
N031,neutral,environment
N031,neutral,entertainment
N031,neutral,money
N032,anger,technology
N032,anger,environment
N032,anger,crime
N032,anger,health
N032,anger,entertainment
N032,anger,money
N032,neutral,technology
N032,neutral,environment
N032,neutral,crime
N032,neutral,health
N032,neutral,entertainment
N032,neutral,money
N033,disgust,crime
N033,disgust,politics
N033,disgust,environment
N033,disgust,health
N033,disgust,entertainment
N033,disgust,money
N033,anger,crime
N033,anger,politics
N033,anger,environment
N033,anger,health
N033,anger,entertainment
N033,anger,money
N033,surprise,crime
N033,surprise,politics
N033,surprise,environment
N033,surprise,health
N033,surprise,entertainment
N033,surprise,money
N033,neutral,crime
N033,neutral,politics
N033,neutral,environment
N033,neutral,health
N033,neutral,entertainment
N033,neutral,money
N034,disgust,technology
N034,disgust,environment
N034,disgust,crime
N034,disgust,health
N034,disgust,entertainment
N034,disgust,education
N034,disgust,money
N034,anger,technology
N034,anger,environment
N034,anger,crime
N034,anger,health
N034,anger,entertainment
N034,anger,education
N034,anger,money
N034,joy,technology
N034,joy,environment
N034,joy,crime
N034,joy,health
N034,joy,entertainment
N034,joy,education
N034,joy,money
N034,neutral,technology
N034,neutral,environment
N034,neutral,crime
N034,neutral,health
N034,neutral,entertainment
N034,neutral,education
N034,neutral,money
N035,disgust,technology
N035,disgust,crime
N035,disgust,environment
N035,disgust,health
N035,disgust,entertainment
N035,disgust,education
N035,disgust,money
N035,anger,technology
N035,anger,crime
N035,anger,environment
N035,anger,health
N035,anger,entertainment
N035,anger,education
N035,anger,money
N035,surprise,technology
N035,surprise,crime
N035,surprise,environment
N035,surprise,health
N035,surprise,entertainment
N035,surprise,education
N035,surprise,money
N035,neutral,technology
N035,neutral,crime
N035,neutral,environment
N035,neutral,health
N035,neutral,entertainment
N035,neutral,education
N035,neutral,money
N036,anger,technology
N036,anger,environment
N036,anger,crime
N036,anger,entertainment
N036,anger,education
N036,anger,money
N036,neutral,technology
N036,neutral,environment
N036,neutral,crime
N036,neutral,entertainment
N036,neutral,education
N036,neutral,money
N037,anger,technology
N037,anger,environment
N037,anger,crime
N037,anger,entertainment
N037,anger,money
N037,neutral,technology
N037,neutral,environment
N037,neutral,crime
N037,neutral,entertainment
N037,neutral,money
N038,sadness,technology
N038,sadness,politics
N038,sadness,environment
N038,sadness,crime
N038,sadness,health
N038,sadness,entertainment
N038,sadness,money
N038,joy,technology
N038,joy,politics
N038,joy,environment
N038,joy,crime
N038,joy,health
N038,joy,entertainment
N038,joy,money
N038,neutral,technology
N038,neutral,politics
N038,neutral,environment
N038,neutral,crime
N038,neutral,health
N038,neutral,entertainment
N038,neutral,money
N039,neutral,environment
N039,neutral,entertainment
N039,neutral,money
N039,neutral,technology
N040,disgust,technology
N040,disgust,environment
N040,disgust,crime
N040,disgust,politics
N040,disgust,entertainment
N040,disgust,money
N040,anger,technology
N040,anger,environment
N040,anger,crime
N040,anger,politics
N040,anger,entertainment
N040,anger,money
N040,sadness,technology
N040,sadness,environment
N040,sadness,crime
N040,sadness,politics
N040,sadness,entertainment
N040,sadness,money
N040,neutral,technology
N040,neutral,environment
N040,neutral,crime
N040,neutral,politics
N040,neutral,entertainment
N040,neutral,money
N041,disgust,technology
N041,disgust,crime
N041,disgust,environment
N041,disgust,entertainment
N041,disgust,money
N041,sadness,technology
N041,sadness,crime
N041,sadness,environment
N041,sadness,entertainment
N041,sadness,money
N041,fear,technology
N041,fear,crime
N041,fear,environment
N041,fear,entertainment
N041,fear,money
N041,neutral,technology
N041,neutral,crime
N041,neutral,environment
N041,neutral,entertainment
N041,neutral,money
N042,sadness,sports
N042,sadness,technology
N042,sadness,environment
N042,sadness,crime
N042,sadness,health
N042,sadness,entertainment
N042,neutral,sports
N042,neutral,technology
N042,neutral,environment
N042,neutral,crime
N042,neutral,health
N042,neutral,entertainment
N043,anger,technology
N043,anger,environment
N043,anger,crime
N043,anger,entertainment
N043,anger,education
N043,anger,money
N043,neutral,technology
N043,neutral,environment
N043,neutral,crime
N043,neutral,entertainment
N043,neutral,education
N043,neutral,money
N044,anger,technology
N044,anger,environment
N044,anger,crime
N044,anger,politics
N044,anger,entertainment
N044,anger,money
N044,neutral,technology
N044,neutral,environment
N044,neutral,crime
N044,neutral,politics
N044,neutral,entertainment
N044,neutral,money
N045,anger,technology
N045,anger,politics
N045,anger,environment
N045,anger,crime
N045,anger,entertainment
N045,anger,education
N045,anger,money
N045,neutral,technology
N045,neutral,politics
N045,neutral,environment
N045,neutral,crime
N045,neutral,entertainment
N045,neutral,education
N045,neutral,money
N046,disgust,crime
N046,disgust,entertainment
N046,disgust,money
N046,disgust,environment
N046,anger,crime
N046,anger,entertainment
N046,anger,money
N046,anger,environment
N046,fear,crime
N046,fear,entertainment
N046,fear,money
N046,fear,environment
N046,neutral,crime
N046,neutral,entertainment
N046,neutral,money
N046,neutral,environment
N047,anger,technology
N047,anger,crime
N047,anger,politics
N047,anger,environment
N047,anger,health
N047,anger,entertainment
N047,sadness,technology
N047,sadness,crime
N047,sadness,politics
N047,sadness,environment
N047,sadness,health
N047,sadness,entertainment
N047,neutral,technology
N047,neutral,crime
N047,neutral,politics
N047,neutral,environment
N047,neutral,health
N047,neutral,entertainment
N048,neutral,technology
N048,neutral,environment
N048,neutral,crime
N048,neutral,entertainment
N048,neutral,money
N049,disgust,technology
N049,disgust,crime
N049,disgust,politics
N049,disgust,environment
N049,disgust,entertainment
N049,disgust,money
N049,neutral,technology
N049,neutral,crime
N049,neutral,politics
N049,neutral,environment
N049,neutral,entertainment
N049,neutral,money
N050,anger,environment
N050,anger,politics
N050,anger,crime
N050,anger,entertainment
N050,anger,money
N050,joy,environment
N050,joy,politics
N050,joy,crime
N050,joy,entertainment
N050,joy,money
N050,neutral,environment
N050,neutral,politics
N050,neutral,crime
N050,neutral,entertainment
N050,neutral,money
N051,disgust,technology
N051,disgust,crime
N051,disgust,environment
N051,disgust,health
N051,disgust,entertainment
N051,anger,technology
N051,anger,crime
N051,anger,environment
N051,anger,health
N051,anger,entertainment
N051,fear,technology
N051,fear,crime
N051,fear,environment
N051,fear,health
N051,fear,entertainment
N051,neutral,technology
N051,neutral,crime
N051,neutral,environment
N051,neutral,health
N051,neutral,entertainment
N052,sadness,technology
N052,sadness,politics
N052,sadness,environment
N052,sadness,crime
N052,sadness,entertainment
N052,sadness,education
N052,sadness,money
N052,fear,technology
N052,fear,politics
N052,fear,environment
N052,fear,crime
N052,fear,entertainment
N052,fear,education
N052,fear,money
N052,neutral,technology
N052,neutral,politics
N052,neutral,environment
N052,neutral,crime
N052,neutral,entertainment
N052,neutral,education
N052,neutral,money
N053,disgust,technology
N053,disgust,politics
N053,disgust,environment
N053,disgust,crime
N053,disgust,health
N053,disgust,entertainment
N053,disgust,money
N053,fear,technology
N053,fear,politics
N053,fear,environment
N053,fear,crime
N053,fear,health
N053,fear,entertainment
N053,fear,money
N053,neutral,technology
N053,neutral,politics
N053,neutral,environment
N053,neutral,crime
N053,neutral,health
N053,neutral,entertainment
N053,neutral,money
N054,anger,crime
N054,anger,politics
N054,anger,environment
N054,anger,entertainment
N054,anger,money
N054,fear,crime
N054,fear,politics
N054,fear,environment
N054,fear,entertainment
N054,fear,money
N054,neutral,crime
N054,neutral,politics
N054,neutral,environment
N054,neutral,entertainment
N054,neutral,money
N055,neutral,technology
N055,neutral,crime
N055,neutral,environment
N055,neutral,entertainment
N055,neutral,education
N055,neutral,money
N056,anger,environment
N056,anger,entertainment
N056,anger,education
N056,anger,crime
N056,neutral,environment
N056,neutral,entertainment
N056,neutral,education
N056,neutral,crime
N057,anger,sports
N057,anger,crime
N057,anger,environment
N057,anger,entertainment
N057,anger,money
N057,joy,sports
N057,joy,crime
N057,joy,environment
N057,joy,entertainment
N057,joy,money
N057,neutral,sports
N057,neutral,crime
N057,neutral,environment
N057,neutral,entertainment
N057,neutral,money
N058,anger,technology
N058,anger,crime
N058,anger,politics
N058,anger,environment
N058,anger,entertainment
N058,sadness,technology
N058,sadness,crime
N058,sadness,politics
N058,sadness,environment
N058,sadness,entertainment
N058,neutral,technology
N058,neutral,crime
N058,neutral,politics
N058,neutral,environment
N058,neutral,entertainment
N059,anger,crime
N059,anger,politics
N059,anger,environment
N059,anger,entertainment
N059,anger,education
N059,anger,money
N059,sadness,crime
N059,sadness,politics
N059,sadness,environment
N059,sadness,entertainment
N059,sadness,education
N059,sadness,money
N059,neutral,crime
N059,neutral,politics
N059,neutral,environment
N059,neutral,entertainment
N059,neutral,education
N059,neutral,money
N060,anger,environment
N060,anger,politics
N060,anger,crime
N060,anger,entertainment
N060,anger,money
N060,sadness,environment
N060,sadness,politics
N060,sadness,crime
N060,sadness,entertainment
N060,sadness,money
N060,neutral,environment
N060,neutral,politics
N060,neutral,crime
N060,neutral,entertainment
N060,neutral,money
N061,anger,technology
N061,anger,environment
N061,anger,politics
N061,anger,crime
N061,anger,entertainment
N061,anger,education
N061,sadness,technology
N061,sadness,environment
N061,sadness,politics
N061,sadness,crime
N061,sadness,entertainment
N061,sadness,education
N061,neutral,technology
N061,neutral,environment
N061,neutral,politics
N061,neutral,crime
N061,neutral,entertainment
N061,neutral,education
N062,sadness,technology
N062,sadness,politics
N062,sadness,environment
N062,sadness,crime
N062,sadness,health
N062,sadness,entertainment
N062,surprise,technology
N062,surprise,politics
N062,surprise,environment
N062,surprise,crime
N062,surprise,health
N062,surprise,entertainment
N062,joy,technology
N062,joy,politics
N062,joy,environment
N062,joy,crime
N062,joy,health
N062,joy,entertainment
N062,neutral,technology
N062,neutral,politics
N062,neutral,environment
N062,neutral,crime
N062,neutral,health
N062,neutral,entertainment
N062,anger,technology
N062,anger,politics
N062,anger,environment
N062,anger,crime
N062,anger,health
N062,anger,entertainment
N063,neutral,technology
N063,neutral,politics
N063,neutral,crime
N063,neutral,environment
N063,neutral,entertainment
N063,neutral,money
N064,sadness,technology
N064,sadness,environment
N064,sadness,politics
N064,sadness,crime
N064,sadness,entertainment
N064,sadness,money
N064,joy,technology
N064,joy,environment
N064,joy,politics
N064,joy,crime
N064,joy,entertainment
N064,joy,money
N064,neutral,technology
N064,neutral,environment
N064,neutral,politics
N064,neutral,crime
N064,neutral,entertainment
N064,neutral,money
N065,fear,environment
N065,fear,crime
N065,fear,health
N065,fear,entertainment
N065,fear,money
N065,sadness,environment
N065,sadness,crime
N065,sadness,health
N065,sadness,entertainment
N065,sadness,money
N065,neutral,environment
N065,neutral,crime
N065,neutral,health
N065,neutral,entertainment
N065,neutral,money
N066,disgust,crime
N066,disgust,entertainment
N066,disgust,politics
N066,disgust,environment
N066,anger,crime
N066,anger,entertainment
N066,anger,politics
N066,anger,environment
N066,surprise,crime
N066,surprise,entertainment
N066,surprise,politics
N066,surprise,environment
N066,neutral,crime
N066,neutral,entertainment
N066,neutral,politics
N066,neutral,environment
N067,anger,technology
N067,anger,crime
N067,anger,politics
N067,anger,environment
N067,anger,health
N067,anger,entertainment
N067,sadness,technology
N067,sadness,crime
N067,sadness,politics
N067,sadness,environment
N067,sadness,health
N067,sadness,entertainment
N067,neutral,technology
N067,neutral,crime
N067,neutral,politics
N067,neutral,environment
N067,neutral,health
N067,neutral,entertainment
N068,neutral,technology
N068,neutral,crime
N068,neutral,environment
N068,neutral,politics
N068,neutral,entertainment
N068,neutral,education
N068,neutral,money
N069,fear,technology
N069,fear,environment
N069,fear,crime
N069,fear,health
N069,fear,entertainment
N069,fear,money
N069,neutral,technology
N069,neutral,environment
N069,neutral,crime
N069,neutral,health
N069,neutral,entertainment
N069,neutral,money
N070,anger,technology
N070,anger,crime
N070,anger,politics
N070,anger,environment
N070,anger,entertainment
N070,fear,technology
N070,fear,crime
N070,fear,politics
N070,fear,environment
N070,fear,entertainment
N070,neutral,technology
N070,neutral,crime
N070,neutral,politics
N070,neutral,environment
N070,neutral,entertainment
N071,disgust,technology
N071,disgust,crime
N071,disgust,politics
N071,disgust,environment
N071,disgust,entertainment
N071,disgust,money
N071,anger,technology
N071,anger,crime
N071,anger,politics
N071,anger,environment
N071,anger,entertainment
N071,anger,money
N071,neutral,technology
N071,neutral,crime
N071,neutral,politics
N071,neutral,environment
N071,neutral,entertainment
N071,neutral,money
N072,neutral,technology
N072,neutral,politics
N072,neutral,environment
N072,neutral,crime
N072,neutral,entertainment
N072,neutral,money
N073,anger,technology
N073,anger,crime
N073,anger,environment
N073,anger,politics
N073,anger,entertainment
N073,anger,money
N073,neutral,technology
N073,neutral,crime
N073,neutral,environment
N073,neutral,politics
N073,neutral,entertainment
N073,neutral,money
N074,anger,sports
N074,anger,technology
N074,anger,environment
N074,anger,politics
N074,anger,entertainment
N074,anger,money
N074,sadness,sports
N074,sadness,technology
N074,sadness,environment
N074,sadness,politics
N074,sadness,entertainment
N074,sadness,money
N074,neutral,sports
N074,neutral,technology
N074,neutral,environment
N074,neutral,politics
N074,neutral,entertainment
N074,neutral,money
N075,anger,technology
N075,anger,politics
N075,anger,environment
N075,anger,crime
N075,anger,entertainment
N075,anger,money
N075,neutral,technology
N075,neutral,politics
N075,neutral,environment
N075,neutral,crime
N075,neutral,entertainment
N075,neutral,money
N076,sadness,technology
N076,sadness,politics
N076,sadness,crime
N076,sadness,environment
N076,sadness,entertainment
N076,sadness,money
N076,neutral,technology
N076,neutral,politics
N076,neutral,crime
N076,neutral,environment
N076,neutral,entertainment
N076,neutral,money
N077,anger,politics
N077,anger,entertainment
N077,anger,crime
N077,anger,environment
N077,neutral,politics
N077,neutral,entertainment
N077,neutral,crime
N077,neutral,environment
N078,sadness,sports
N078,sadness,environment
N078,sadness,politics
N078,sadness,crime
N078,sadness,health
N078,sadness,entertainment
N078,sadness,money
N078,joy,sports
N078,joy,environment
N078,joy,politics
N078,joy,crime
N078,joy,health
N078,joy,entertainment
N078,joy,money
N078,neutral,sports
N078,neutral,environment
N078,neutral,politics
N078,neutral,crime
N078,neutral,health
N078,neutral,entertainment
N078,neutral,money
N079,disgust,crime
N079,disgust,politics
N079,disgust,environment
N079,disgust,health
N079,disgust,entertainment
N079,disgust,money
N079,anger,crime
N079,anger,politics
N079,anger,environment
N079,anger,health
N079,anger,entertainment
N079,anger,money
N079,neutral,crime
N079,neutral,politics
N079,neutral,environment
N079,neutral,health
N079,neutral,entertainment
N079,neutral,money
N080,neutral,technology
N080,neutral,environment
N080,neutral,politics
N080,neutral,crime
N080,neutral,entertainment
N080,neutral,money
N081,sadness,technology
N081,sadness,environment
N081,sadness,crime
N081,sadness,health
N081,sadness,entertainment
N081,sadness,money
N081,surprise,technology
N081,surprise,environment
N081,surprise,crime
N081,surprise,health
N081,surprise,entertainment
N081,surprise,money
N081,neutral,technology
N081,neutral,environment
N081,neutral,crime
N081,neutral,health
N081,neutral,entertainment
N081,neutral,money
N082,disgust,technology
N082,disgust,crime
N082,disgust,environment
N082,disgust,politics
N082,disgust,entertainment
N082,disgust,money
N082,sadness,technology
N082,sadness,crime
N082,sadness,environment
N082,sadness,politics
N082,sadness,entertainment
N082,sadness,money
N082,neutral,technology
N082,neutral,crime
N082,neutral,environment
N082,neutral,politics
N082,neutral,entertainment
N082,neutral,money
N083,disgust,technology
N083,disgust,environment
N083,disgust,politics
N083,disgust,crime
N083,disgust,health
N083,disgust,entertainment
N083,disgust,money
N083,joy,technology
N083,joy,environment
N083,joy,politics
N083,joy,crime
N083,joy,health
N083,joy,entertainment
N083,joy,money
N083,neutral,technology
N083,neutral,environment
N083,neutral,politics
N083,neutral,crime
N083,neutral,health
N083,neutral,entertainment
N083,neutral,money
N084,anger,technology
N084,anger,environment
N084,anger,politics
N084,anger,crime
N084,anger,health
N084,anger,entertainment
N084,neutral,technology
N084,neutral,environment
N084,neutral,politics
N084,neutral,crime
N084,neutral,health
N084,neutral,entertainment
N085,anger,politics
N085,anger,crime
N085,anger,environment
N085,anger,health
N085,anger,entertainment
N085,anger,education
N085,sadness,politics
N085,sadness,crime
N085,sadness,environment
N085,sadness,health
N085,sadness,entertainment
N085,sadness,education
N085,neutral,politics
N085,neutral,crime
N085,neutral,environment
N085,neutral,health
N085,neutral,entertainment
N085,neutral,education
N086,anger,technology
N086,anger,crime
N086,anger,politics
N086,anger,environment
N086,anger,entertainment
N086,sadness,technology
N086,sadness,crime
N086,sadness,politics
N086,sadness,environment
N086,sadness,entertainment
N086,joy,technology
N086,joy,crime
N086,joy,politics
N086,joy,environment
N086,joy,entertainment
N086,neutral,technology
N086,neutral,crime
N086,neutral,politics
N086,neutral,environment
N086,neutral,entertainment
N087,neutral,sports
N087,neutral,technology
N087,neutral,environment
N087,neutral,crime
N087,neutral,entertainment
N087,neutral,money
N088,anger,technology
N088,anger,environment
N088,anger,politics
N088,anger,crime
N088,anger,health
N088,anger,entertainment
N088,anger,money
N088,neutral,technology
N088,neutral,environment
N088,neutral,politics
N088,neutral,crime
N088,neutral,health
N088,neutral,entertainment
N088,neutral,money
N089,anger,technology
N089,anger,politics
N089,anger,crime
N089,anger,environment
N089,anger,entertainment
N089,neutral,technology
N089,neutral,politics
N089,neutral,crime
N089,neutral,environment
N089,neutral,entertainment
N090,disgust,technology
N090,disgust,environment
N090,disgust,crime
N090,disgust,politics
N090,disgust,entertainment
N090,disgust,money
N090,anger,technology
N090,anger,environment
N090,anger,crime
N090,anger,politics
N090,anger,entertainment
N090,anger,money
N090,neutral,technology
N090,neutral,environment
N090,neutral,crime
N090,neutral,politics
N090,neutral,entertainment
